Date,Category,Amount
01/05/2023,Salary,2800.0
01/10/2023,Food,-130.0
01/15/2023,Rent,-1100.0
01/20/2023,Transportation,-70.0
01/25/2023,Entertainment,-50.0
02/05/2023,Salary,2800.0
02/08/2023,Food,-125.0
02/15/2023,Rent,-1100.0
02/18/2023,Utilities,-100.0
02/22/2023,Entertainment,-80.0
03/05/2023,Salary,2800.0
03/10/2023,Food,-140.0
03/15/2023,Rent,-1100.0
03/20/2023,Transportation,-65.0
03/25/2023,Shopping,-200.0
04/05/2023,Salary,2800.0
04/10/2023,Food,-135.0
04/15/2023,Rent,-1100.0
04/18/2023,Utilities,-95.0
04/22/2023,Entertainment,-60.0
05/05/2023,Salary,2800.0
05/10/2023,Food,-150.0
05/15/2023,Rent,-1100.0
05/20/2023,Healthcare,-120.0
05/25/2023,Shopping,-250.0
06/05/2023,Salary,2800.0
06/10/2023,Food,-145.0
06/15/2023,Rent,-1100.0
06/18/2023,Utilities,-105.0
06/22/2023,Transportation,-75.0
07/05/2023,Salary,2800.0
07/10/2023,Food,-160.0
07/15/2023,Rent,-1100.0
07/20/2023,Entertainment,-130.0
07/30/2023,Shopping,-300.0
08/05/2023,Salary,2800.0
08/10/2023,Food,-155.0
08/15/2023,Rent,-1100.0
08/18/2023,Utilities,-110.0
08/22/2023,Healthcare,-140.0
09/05/2023,Salary,2800.0
09/10/2023,Food,-165.0
09/15/2023,Rent,-1100.0
09/20/2023,Transportation,-80.0
09/25/2023,Shopping,-280.0
10/05/2023,Salary,2800.0
10/10/2023,Food,-150.0
10/15/2023,Rent,-1100.0
10/18/2023,Utilities,-100.0
10/22/2023,Entertainment,-70.0
11/05/2023,Salary,2800.0
11/10/2023,Food,-170.0
11/15/2023,Rent,-1100.0
11/20/2023,Healthcare,-180.0
11/25/2023,Shopping,-400.0
12/05/2023,Salary,2800.0
12/10/2023,Food,-180.0
12/15/2023,Rent,-1100.0
12/18/2023,Utilities,-115.0
12/22/2023,Shopping,-500.0
12/28/2023,Entertainment,-200.0
