Date,Category,Amount
01/05/2024,Compensation,3200
01/05/2010,Compensation,92
01/05/24,Compensation,3200.50
01/06/2010,Compensation,bar
2024-01-10,Allowance,500
2014/13/40,Allowance,88
01/07/2024,Food,-300
01/01/1899,Home,-50
02/30/2024,Utilities,-150
13/01/2024,Transportation,-90
02/10/2000,Compensation,90
02/11/2024,Food,78.2
02/12/2024,Education,78,82,79
02/13/2024,Entertainment,90,
02/14/2024,Entertainment,0
02/15/2024,Entertainment,101
02/16/2024,Other,-75
02/17/2024,Other,-60
02/18/2024,Home,Ninety
02/19/2024,Compensation;95
02/20/2024,Transportation,¢
02/21/2024,Category,Amount
02/22/2024,Category,Amount
02/23/2099,Compensation,110
02/24/2024,,
02/25/2024,,,
02/26/2024,Food,-20
02/27/2024,Compensation,0
02/28/2024,Investments,-200
02/29/2024,Education,600
03/01/2024,Entertainment,-999999999
03/02/2024,Food,abc
03/03/2024,Home,
03/04/2024,Compensation,3200
03/05/2024,,3200
03/06/2024,Professional Services,-100.0
03/07/2024,Appearance,-120.123
03/08/2024,Work,-80
03/09/2024,Transportation,-95.5
03/10/2024,Utilities,
03-11-2024,Entertainment,-260
04/01/2024,Compensation,+3200
04/02/2024,Allowance,-400
04/03/2024,Food,-310
04/31/2024,Home,-1200
04/05/2024,Transport,-100
04/06/24,Other,-50
04/07/2024,Entertainment,NaN
2024/05/01,Compensation,3200
05/02/2024,Investment,150
05/03/2024,Food,-330
05/04/2024,Home,-1200
05/05/2024,Utilities,-155.00
05/06/2025,Education,-620
05/07/2024,Appearance,-110
05/08/2024,Transportation,-98
06/01/2024,Compensation,3
06/02/2024,Allowance,300.0
06/03/2024,FOOD,-340
06/04/2024,home,-1200
06/05/2024,Entertainment,-280
06/06/2024,Professional Services,"-90"
06/07/2024,Work,-85 extra
06/08/2024,Transportation,-102
07/01/2024,Compensation,
07/02/2024,Compensation,""
07/03/2024,Other, -75 
07/04/24,Other,-75.5
07/05/2024,Compensation,3
07/06/2024,InvalidCat,notanumber
